Version,"RVGL 21.0125a","P2P","Server"
Session,"08/13/21 19:01:53","BGM","Arcade",3,"true"
Results,"Toy World 1",6
#,Player,Car,Time,BestLap,Finished,Cheating
09,"HONKA","Clockwork Peak","02:51:908","00:53:375","true","true"
10,"K6","Clockwork Rod","02:52:782","00:53:537","true","true"
11,"RV LOCO™®©","Clockwork Ghibli","02:55:388","00:54:290","true","true"
12,"LOQ","Clockwork Rod","02:56:953","00:55:558","true","true"
13,"G5","Clockwork Trial","03:04:553","00:58:170","true","true"
14,"NUC","Clockwork Trial","03:17:413","00:52:837","true","true"
Results,"Toy World Aquatica: Redux",14
#,Player,Car,Time,BestLap,Finished,Cheating
01,"TT","Clockwork Turbo","02:22:099","00:44:810","true","true"
02,"BGM","Clockwork Turbo","02:28:469","00:45:804","true","false"
03,"ESTEBANMZ","Clockwork Rod","02:31:074","00:48:874","true","true"
04,"IL ANTELCULAZO","Clockwork Rally","02:32:719","00:47:392","true","true"
05,"GORGON","Clockwork Midget","02:38:795","00:48:293","true","true"
06,"KIKI","Clockwork Trial","02:39:825","00:49:983","true","true"
07,"HONKA","Clockwork Peak","02:39:959","00:49:153","true","true"
08,"MARRAX","Clockwork Turbo","02:45:749","00:48:758","true","true"
09,"MACACOSKY","Clockwork Rod","02:46:782","00:54:026","true","true"
10,"LOQ","Clockwork Rod","02:47:885","00:51:053","true","true"
11,"K6","Clockwork Rod","02:53:306","00:54:118","true","true"
12,"RV LOCO™®©","Clockwork Ghibli","02:54:977","00:56:000","true","true"
13,"NUC","Clockwork Trial","02:56:615","00:55:899","true","true"
14,"G5","Clockwork Trial","03:11:880","01:00:748","true","true"
Results,"Toytanic 1",14
#,Player,Car,Time,BestLap,Finished,Cheating
01,"TT","Clockwork Turbo","02:39:058","00:51:008","true","true"
02,"BGM","Clockwork Turbo","02:58:680","00:53:593","true","false"
03,"GORGON","Clockwork Midget","03:03:148","00:54:800","true","true"
04,"MACACOSKY","Clockwork Rod","03:04:183","00:57:947","true","true"
05,"MARRAX","Clockwork Turbo","03:06:092","00:58:044","true","true"
06,"ESTEBANMZ","Clockwork Rod","03:08:908","00:59:652","true","true"
07,"HONKA","Clockwork Peak","03:09:398","00:56:324","true","true"
08,"KIKI","Clockwork Trial","03:12:286","01:00:426","true","true"
09,"LOQ","Clockwork Rod","03:13:954","01:02:476","true","true"
10,"IL ANTELCULAZO","Clockwork Rally","03:14:179","00:59:517","true","true"
11,"RV LOCO™®©","Clockwork Ghibli","03:17:799","01:01:183","true","true"
12,"K6","Clockwork Rod","03:21:889","01:01:524","true","true"
13,"NUC","Clockwork Trial","03:22:969","01:00:567","true","true"
14,"G5","Clockwork Trial","03:43:679","01:07:141","true","true"
Results,"Spa-Volt 1",14
#,Player,Car,Time,BestLap,Finished,Cheating
01,"HONKA","Clockwork Peak","02:49:673","00:55:089","true","true"
02,"TT","Clockwork Turbo","02:50:895","00:54:004","true","true"
03,"BGM","Clockwork Turbo","02:51:863","00:54:106","true","false"
04,"KIKI","Clockwork Trial","02:54:249","00:55:269","true","true"
05,"MACACOSKY","Clockwork Rod","02:57:317","00:54:352","true","true"
06,"ESTEBANMZ","Clockwork Rod","03:08:328","00:58:530","true","true"
07,"GORGON","Clockwork Midget","03:08:602","00:57:698","true","true"
08,"LOQ","Clockwork Rod","03:10:396","01:01:026","true","true"
09,"MARRAX","Clockwork Turbo","03:12:964","00:59:125","true","true"
10,"K6","Clockwork Rod","03:18:675","01:04:391","true","true"
11,"NUC","Clockwork Trial","03:29:176","01:08:111","true","true"
12,"RV LOCO™®©","Clockwork Ghibli","04:18:514","01:15:547","false","true"
Results,"Botanical Garden",12
#,Player,Car,Time,BestLap,Finished,Cheating
01,"GORGON","Clockwork Midget","01:29:058","00:27:976","true","true"
02,"BGM","Clockwork Turbo","01:35:945","00:26:812","true","false"
03,"TT","Clockwork Turbo","01:40:091","00:27:987","true","true"
04,"MACACOSKY","Clockwork Rod","01:41:002","00:27:818","true","true"
05,"K6","Clockwork Rod","01:41:571","00:28:222","true","true"
06,"KIKI","Clockwork Trial","01:42:114","00:28:367","true","true"
07,"HONKA","Clockwork Peak","01:42:340","00:30:209","true","true"
08,"MARRAX","Clockwork Turbo","01:42:654","00:31:017","true","true"
09,"ESTEBANMZ","Clockwork Rod","01:50:382","00:35:158","true","true"
10,"LOQ","Clockwork Rod","01:51:014","00:35:464","true","true"
11,"NUC","Clockwork Trial","01:57:600","00:30:004","true","true"
12,"RV LOCO™®©","Clockwork Ghibli","02:02:466","00:38:583","true","true"
